ID Pembekal	Nama Pembekal
UP00212	AZH BISTARI ENGINEERING
UP00213	AZA TRADING \& SERVICES
UP00214	AZA MAINTENANCE AND SERVICES
UP00215	B \& Z SUPPLY SERVICES
UP00216	BATEC ELECTRICAL SERVICES
UP00217	BANTAM ADVERTISING SDN BHD
UP00218	BANK ISLAM MALAYSIA BHD.
UP00219	BAN FOONG ELECTRICAL \& PLUMBING
UP00220	BANK NEGARA MALAYSIA
UP00221	BALDU BERSIH ENTERPRISE
UP00222	BAYU HEBAT SDN. BHD.
UP00223	BAYU ADVERTISING \& PROMOTIONS SDNTAJUL
UP00224	BAKAR NOORDIN RENT A CAR AND MOTORCY
UP00225	BAKOM TECHNOLOGY
UP00226	BANHOH SDN BHD
UP00227	BABYLON OFFICE SYSTEMS
UP00228	BANK KERJASAMA RAKYAT MALAYSIA BERHA
UP00229	BAKTIZAM NIAGA
UP00230	BAKTI TULIN SDN BHD
UP00231	BAKRI CONSULTING ENGINEERS
UP00232	BANG MEDIA INTERNATIONAL
UP00233	BAHAGIA HOTEL (LANGKAWI) SDN BHD
UP00234	BCOM TRADING COMPANY
UP00235	BDS WARISAN SDN BHD
UP00236	BEKAL SAMA SDN. BHD
UP00237	BERJAYA ENTERPRISE
UP00238	BENGKEL ANDA
UP00239	BEYEN SALES \& SERVICES (M) SDN.BHD.
UP00240	BEYEN NIAGA SDN. BHD.
UP00241	BENDAHARI, UNIVERSITI SAINS MALAYSIA
UP00242	UXERA SDN BHD
UP00243	BENCHCRAFT SYSTEM SDN BHD
UP00244	BENZ DESIGN \& INTERIOR DECO
UP00245	BETA TECHNOLOGY SDN BHD
UP00246	BENCHMARK SYSTEMS (S) PTE LTD
UP00247	BEST WINNER ENTERPRISE
UP00248	BENCHMARK SYSTEMS (S) PTE LTD
UP00249	BEST DENKI MALAYSIA SDN BHD
UP00250	BENTECH RESOURCES
UP00251	BERNAMA TV SYNERGY SDN BHD
UP00252	BERITA PUBLISHING SDN BHD
UP00253	BERNAS MUHIBAH ENTERPRISE
UP00254	BENGKEL SETIA(M) SDN BHD
UP00255	BERKAT ZUHA ENTERPRISE
UP00256	BENDAHARI KUMPULAN WANG BIASISWANG
UP00257	BERKAT TERAS NIAGA ENTERPRISE
UP00258	BFM MEDIA SDN BHD
UP00259	BG FIRE ENGINEERING
UP00260	BG FIRE TECHNOLOGY RESOURCES SDN BHD
UP00261	BHAG SULAIMAN \& CO
UP00262	BINTANG ENTERPRISES
UP00263	ANGKASA
UP00264	BINALITE ELECTRICAL ENGINEERING
UP00265	BINA RINGKAT SDN. BHD.
UP00266	BINTANG TRADING \& SERVICES
UP00267	BINTANG KOMERSIAL (M) SDN. BHD.
UP00268	BINTANG MAJU COMMERCIAL SDN BHD
UP00269	BIZFRONT SDN. BHD.
UP00270	BINANIN ADVANCE SYSTEM
UP00271	BIZ-EDGE CONSULTING SDN BHD
UP00272	BINGKISAN MUTIARA ENTERPRISE
